nohup: ignoring input
--------------------------------------------------
正在加载模型 medium.en (TEDLIUM 全量推理模式)...
模型加载完成。
--------------------------------------------------
正在加载参考文本: /opt/Audio_Datasets/TEDLIUM_WAV/text.txt
已加载 2582 条参考文本。
开始遍历音频文件: /opt/Audio_Datasets/TEDLIUM_WAV
File: 000518.wav | WER: 0.1667 | Dist: 1 | RefWords: 6
File: 000560.wav | WER: 0.2500 | Dist: 4 | RefWords: 16
File: 000553.wav | WER: 0.0000 | Dist: 0 | RefWords: 8
File: 000536.wav | WER: 0.2727 | Dist: 3 | RefWords: 11
File: 000593.wav | WER: 0.1176 | Dist: 2 | RefWords: 17
File: 000578.wav | WER: 0.0000 | Dist: 0 | RefWords: 15
File: 000552.wav | WER: 0.0000 | Dist: 0 | RefWords: 22
File: 000598.wav | WER: 0.0000 | Dist: 0 | RefWords: 8
File: 000508.wav | WER: 0.0476 | Dist: 1 | RefWords: 21
File: 000568.wav | WER: 0.0000 | Dist: 0 | RefWords: 7
File: 000597.wav | WER: 0.2222 | Dist: 4 | RefWords: 18
File: 000546.wav | WER: 0.2424 | Dist: 8 | RefWords: 33
File: 000543.wav | WER: 0.2308 | Dist: 6 | RefWords: 26
File: 000530.wav | WER: 0.0000 | Dist: 0 | RefWords: 24
File: 000565.wav | WER: 0.0435 | Dist: 1 | RefWords: 23
File: 000584.wav | WER: 0.0769 | Dist: 1 | RefWords: 13
File: 000547.wav | WER: 0.0000 | Dist: 0 | RefWords: 6
File: 000554.wav | WER: 0.0000 | Dist: 0 | RefWords: 8
File: 000590.wav | WER: 0.0000 | Dist: 0 | RefWords: 18
